,username,status,gender,translated_occupation_category_encoded,age_group_encoded,filtered sentence,caption,y
18,Anibal_27,14,1,1,0,SOY UNA PERSONA QUE ESCRIBE Y REFLEXIONA,two girls are playing in the grass,0
19,Anna2277,14,0,6,0,friendly smart girl I like read walk fresh air,two girls are playing in the grass,0
20,Annanna,14,0,10,1,Love music 70s 80s 90s Love read books,two girls are playing in field,0
21,Annha,14,0,15,1,Authentic altruistic,man in black shirt is standing in front of crowd,0
22,Anniepears,13,0,8,2,I dreamer romantic fun home buddy like sit home go walk read book cook listen stories send photo later,two girls are playing in the grass,0
23,anowar35,13,1,14,2,I one simple person also make friendship good people,man in black shirt is standing in front of crowd,0
24,Apb1974,10,1,16,2,I single Dad I raised two daughters I never would want daughters disrespected As I endeavor type man The respect I demand daughters suitors I demand ladies,man in red shirt is walking down the street,0
25,Arkangel65,15,1,15,3,Im 55 former Marine Widowed 3 years 28 years marriage,two girls are playing in the tub,0
26,arnab,12,1,3,3,professor love travelling reading,man in black shirt is smiling at the camera,0
27,arrivedagain,10,1,5,3,Raised children single parent Now children adults would like another child family I believe God plan us I know He doesnt want us lonely Im looking someone kind heart appreciate love I work hard dont believe woman work Maybe im old fashion I think Man provide Family,man in black shirt is smiling at the camera,0
28,Artvazmat12,14,1,6,1,Hi Im looking long lasting friendships And Im open relationship Please feel free contact I speak English Spanish,man in red shirt is sitting on bench in front of large building,0
29,Arunhere,13,1,14,2,I generous calm person,man is sitting on dock overlooking the ocean,0
30,ash21moberly,14,0,8,0,Hello guys Im Ashley moberly mo Im 21 years old single Im nursing student Im love fun,two girls are playing in the grass,0
31,ashley23mob,14,0,8,0,Hello guys Im Ashley single college student Missouri I outgoing I love fun spend time guy,two girls are playing in the grass,0
32,Astrid09,14,0,7,0,Hey Just looking friends dance every day,two girls are playing in the grass,0
33,atplcpl,10,1,6,2,I man living alone 170 cm 80 kg non smoker well educated clean organised,two girls are playing in the grass,0
34,Aura4,10,0,0,3,I woman born México Like freedom honesty creativity truth alternative music cinema love laugh walk nature travel I designer artist I travel York daughter giving bird would like meet nice man,man in black shirt is standing in front of woman in black shirt,0
35,Av8or59,10,1,12,3,Returning Colorado seeking fun abs adventurousness partner,man in black shirt is standing in front of woman in black shirt,0
36,axelgutez,14,1,16,2,Im looking good woman intention serius relationship I would like children,man in black shirt is standing in front of crowd,0
37,Babydoll40,10,0,19,1,Ball fun big hearted,man in black shirt is standing in front of crowd,0
38,Baptist_63,10,1,7,3,I God fearing man loves God affectionate respectful thoughtful romantic homey,man in red shirt is standing next to man in black shirt,0
39,barney,14,1,12,3,single retired looking someone live,man in black shirt is smiling,0
40,Bassclef,10,1,0,2,I writer composer orchestral music jazz also musician bassist,two girls are sitting on the edge of dock looking at the camera,0
41,Bassman87,14,1,10,1,Just got serious relationship Looking get back I like heavy metal anime women loke kids dogs lol,man in black shirt is standing in front of cardboard cart,0
42,BayouBengal20,14,1,12,2,Outgoing guy I love travel,two girls are playing in the grass,0
43,Belen2022,10,0,2,2,Just days Malta would love meet nice man,man in red shirt is sitting on bench next to the water,0
44,Belmont,14,1,3,1,I always speak truth sincerity heart following product destiny magic envelop us Im romantic loving men I looking special sincere woman wants share mutual magical love without limits conditions distances I fall love let loved every day together face future,little boy in red shirt and red shorts is blowing on the grass,0
45,Ben64116,14,1,15,2,Im single guy likes lots things fun Anything want know ask Im looking women Kansas City area talk get know meet person,man in red shirt is standing in front of crowd,0
46,benjden00,14,1,12,3,Nanaimo resident seeking 35 55 blond fit potential longterm relationship,man in black shirt is smiling at the camera,0
47,Benji26,14,1,15,0,I looking serious relationship I enjoy movies disc golf video games concerts,two girls are playing in the grass,0
48,Bentley00788,14,1,14,3,French american living Los angeles 30 yearsfun love travelenjoy beauty,two girls are playing in the grass,0
49,Berktree79,14,1,3,1,Trying something new I clean start fresh start Focus happy finding I lot Ready real friend A real partner Someone back I big heart lot love give Made mistakes I learned,two girls are playing in the grass,0
50,Bgoat2,14,1,19,3,Like lot things lately Ive working firearms Dam I hate part,man in red shirt is standing on the edge of rock wall,0
51,Bgulley,14,0,6,0,Im 22 Ive always interested Russian men I want relocate,two girls are playing in the grass,0
52,BigDawg757,14,1,14,1,Strongfunnyfast learnergreat kids,man in black shirt is sitting on bench with her eyes on his head,0
53,bigdee1234dw,14,1,14,0,Im signal mountain looking nice girl chat,two girls are playing in the grass,0
54,bigsweetiepie,15,1,12,3,im easy going lay back kind guy,man in black shirt is smiling with her hair on her face,0
55,Blaine6969,10,1,6,2,Single dad looking relationship Work 4 times week,two girls are playing in the grass,0
56,blakelake2017,11,1,1,1,Just looking fun frisky gal make memories Nothing super serious unless click get,two girls are playing in the grass,0
57,Blanco1982,14,1,14,1,I genuine person looking meet,two girls are playing in the grass,0
58,Blkseaza,13,1,14,2,Im laid back body athletic height 510 Im curious safe play nice couple Very safe sane great bed fun friendly positive attitude graphic designer full adventure Great hygiene If keep secret lets fun adventuresses I need eat p I host night serious replies Im looking discreet affair women love get p ate I love f eating p grown sexy women blk women plz Latinos plus,two girls are playing in the grass,0
59,bobby11224,15,1,12,3,64 yearold male height 6 slim build,man in black shirt is eating,0
60,BobbyZ,14,1,1,2,Tattooed single dad laughter good conversation whatever adventures come way,two girls are playing in the grass,0
61,Boertjie48,15,1,18,2,Im tall athletic outdoors person Into fitness health,man in red shirt is standing on the edge of rock wall,0
62,Bogosse,13,1,14,3,50 Year old separated 25 years marriage Athletic dynamic individual looking life loving woman spend time see,two girls are playing in the grass,0
63,BorisNT,14,1,15,0,I moved Dublin September Croatia Firstly Im looking something honest real whatever comesFluent speaker Im still catching Irish accent,man in black shirt is standing in front of building,0
64,Bradley17,10,1,2,3,Big heart big smile big laugh big hugs big kisses big affection big love big salsa dancing big adventuretravel big Europe South America big sharing life journey last magnificent woman Ill ever meet devoted,man in red shirt is sitting on rock overlooking the ocean,0
65,Brandon9503,14,1,1,0,happy fun romantic affectionate likes exercise outdoor activities adventure,man in red shirt is walking along the beach,0
66,Brian1985,14,1,15,1,Hi name Brian Im 35 since love cooking long walks along beach looking settle,man in red shirt is standing in front of christmas tree,0
67,brighithariana,14,0,0,0,I like read personal growth books travel meet new people cultures,two girls are playing in the street,0
68,Bruwil28,14,1,15,2,I easy going person I enjoy going movies flea markets,two girls are playing in the grass,0
69,Bubbahammond,14,1,10,1,Im laid back guy plenty fun wants meet people,man in black shirt is standing next to man in black shirt,0
70,bubby123,14,1,14,3,honest outgoing ready find friend,two girls are playing in the grass,0
71,Bullets78,14,1,1,2,Fun free spirit friendly generous loving,two girls are playing in the grass,0
72,cactuspear,14,1,14,3,Honest trustworthy high energy young heart selfless,two girls are playing in the grass,0
73,Cain817,14,1,15,1,Tall sexy tatted Hispanic Fun honest love real people,man in black shirt is standing in front of an umbrella,0
74,CAPMEJIAS,15,1,17,3,Sincere attentive friend affectionate loyal cunning romantic,man in black shirt is standing in front of building,0
75,Carinaugly,10,0,14,1,A christian mother two explorer entrepreneur,two girls are sitting on the edge of dock looking at the camera,0
76,Carlos2019,11,1,6,2,I love Singaporean women smart beautiful time,two girls are playing in the grass,0
77,carlvelleri,14,1,14,1,lonely looking right one spend rest life,man in black shirt and sunglasses is sitting on bench,0
78,cesarsauni,14,1,10,1,I single man without children homely affectionate I like cook picnics travel I write poetry thoughts I looking loyal companion love share future,man in red shirt is standing in front of crowd,0
79,cewjal,10,0,12,3,Retired young happy independent lady likes keep life simple,two girls are playing in the grass,0
80,Chad49,14,1,8,3,Seeking lady believes God reads bible wants children,two girls are playing in the grass,0
81,Charles2020,14,1,10,1,Hie thereIm loyal positive person good sense humouremotionally stableI spirit accepting difference people viewsi full respect people generalA fun loving person,man in black shirt is sitting on bench,0
82,Chrislpool65,14,1,15,3,Hi everyone new name Chris Liverpool living Cheshire,man in black shirt is eating drink,0
83,Ciara58,15,0,12,3,I 63 year old widow 1 married daughter 1 granddaughter I like flea markets Watching Old Hollywood movies,two girls are playing in the grass,0
84,CLEVE,10,1,12,3,MY NAME IS CLEVE I AM SINGLE AND LOOKING FOR A LADY TO DATE,man in black shirt is smiling while sitting on the side of the sidewalk,0
85,cometome,15,0,12,3,I single lady ready find gentleman,man in red shirt is standing in front of large building,0
86,Coolchick,10,0,10,3,Am decent honest reliable Dont smoke drink Love cooking moviesbeach walks nature,two girls are playing in the grass,0
87,Corsemagique,12,1,10,3,Hi Easy going french man married open new relations I Like outdoors activities visiting Palma siesta restaurants red wine,man in black shirt is standing in front of crowd,0
88,Craig82,10,1,18,1,A divorced guy looking move Looking someone start friends maybe build In end I hoping find someone marriage minded,man in black shirt is sitting on bench with her hand in the air,0
89,Crissy28,13,0,10,3,Honest sincere sweet loving caring woman Looking true love honesty sincerity respect Someone I love take care rest lives,two girls are playing in the grass,0
90,Crystal01,13,0,10,3,Looking strong honest loving caring man treat,woman in black shirt is smiling at the camera,0
91,csharp1996,14,1,19,0,Hi Im Caleb Sharp Im 26 years old I born January 141996 North Oaks Hospital Hammond Louisiana 1152 PM I currently reside Springfield mom younger siblings,man in black shirt is standing next to woman in black shirt,0
92,Cuteguy5819,12,1,0,3,I smiling blue eyes good sense humor intelligent nice,man in red shirt is sitting on dock looking at the water,0
93,CVFerdinand,10,1,4,2,I simple person lot say I dont say much around I enjoy company others like minds around I get thrills finance I love play stock market The bulls gives quick rush bears keep pumping My wish besides share joy excitement fulfilling thrilling experience What takes place 80s 90s music videos I love compose music edit music videos I like Pro photography I really bad I would love play instrument I dont know I synthesizer violin set electric drums I stare wonder I missing Electric Guitar cast A cat comes visit every day I pet giver tasty goodies gone I dont know belongs seeks All though I love pussys attention I wish girl dreams instead real thing What I think I think I cool dude What I think I think missing life,man in black shirt is standing in front of store,0
94,daisysimoney,13,1,14,3,I open minded carefree loving travelling lot meeting tens people line work A community worker go home dont want people come So meet people friends town villages I dont host parties home sanctuary family disturbances,two girls are playing in the grass,0
95,Damiano1971,14,1,3,2,TENGO UNA PEQUEÑA EMPRESA QUE SE DEDICA A SERVICIOS ME GUSTA EL FUTBOL Y SOY HOGAREÑO,two girls are playing in the grass,0
96,Dan2025,10,1,7,3,I homebody looking meet nice lady,man in red shirt is standing in front of large building,0
97,DanielG1969,14,1,19,3,Im 52yr old looking someone younger Im currently disabled Im working company get invention patented market,two girls are playing in the grass,0
98,danyfit,14,1,2,0,I sociable loving cheerful person healthy lifestyle I like good conversations glass wine good dinner dance salsa,two girls are sitting on dock overlooking the water,0
99,DaringDaddy66,14,1,12,3,Im retired chef looking excitement life And Im great pleaser kinks,two girls are playing in the grass,0
100,David1408,14,1,2,0,I sincere affectionate I like animals especially cats I also like help empathic others,two girls are playing in the grass,0
101,Dawn2Earth,14,0,14,3,Friendship place begin If cant friends first cant anything I believe starting friends huge gift takes lot pressure 2 people If something grow develop come surprise IF happen I want MUTUAL relationship One dominating He walk beside The way I walk behind man view good A things know Im half Im already whole I dont need someone complete Im already person Dont rescue I rescued long time ago Dont try fix Im broken Thanks Im passionate career choice Some may call workaholic I LOVE I Plant Medicine helping people animals Mother Earthmy passions NOTE FIESTY runs family I think genetic disorder,man in black shirt is sitting on bench in front of the water,0
102,Dawnbreak75,14,0,2,2,Im Philippines resident Philippines I often go Vegas visit family I WOULD BE IN VEGAS THIS APRIL Im graduate medical course ended field education I belong big family independent I love pets since I used one I kid It I broken hearted I lost Champ I developed new hobby since pandemic plants So I I time Im homebody person I go friends Im looking someone would complement I complement I devout Christian important someone shares faith Im conservative type I easily taken aback aggressive personality On weekends Im usually home I also work home Unless gatherings meetings attend Movies I like Shawshank Redemption Primal Fear I also Mushy like Sweet November The Notebook childish nostalgic Disney Pixar Movies I love listening music always music house playing unless course Im working sleeping My friends asking I married I also dont know I believe I havent met one yet,two girls are playing in the grass,0
103,DBrady157,14,1,10,3,I enjoy many interests trekking swimming reading books socialising cafes pubs shows meditating international travelling I financially secure,man in red shirt is standing in front of crowd,0
104,Dean0682,10,1,6,1,I kind Honest Big Heart father 2,two girls are playing in the grass,0
105,Debra1978,15,0,8,2,I love live life last day earth,man in black shirt is sitting on bench in front of an umbrella,0
106,Deepage1,14,0,8,1,Mid age female exploring United States respectfully fun Hoping engage honest person,two girls are playing in the street,0
107,Deepak745,14,1,14,0,Im decent man looking honest lady I love reality love travel romance lady,man in red shirt is sitting on the edge of dock overlooking the ocean,0
108,Deivialejandro,13,1,13,1,I energy person enjoy good vibes life taking care feelings people,two girls are playing in the grass,0
109,DeliciousDave,13,1,3,2,Ready serious relationship beautiful intelligent passionate woman No long drawn sharing letters person meeting soon meeting Life short lets start enjoying together,man in black shirt is smiling at the camera,0
110,DiEli,14,0,10,1,Hola Im Diana A latina currently living Christchurch NZ I love beaches running hiking going long walks Love dogs Im independent girl,little boy in red shirt is standing on the grass,0
111,Disdikin4u,14,1,11,1,Enjoy life everything looking find someone enjoy,two girls are playing in the grass,0
112,Diwata,10,0,2,2,I 15 yr old son lives 2 baby dogs I love much I love photography I love traveling I love food We old play lets get real If fun pls spare Im prettiest Im someone makes drama I want happy someone love I I love back hundred folds,man in black shirt is standing in front of an umbrella,0
113,Dogwood34,10,1,12,3,I divorce If expecting ken doll I weight I easy going retired fixed income I like joke around I like sci fi movies ghost shows cooking yes times baking I like go eat travel car US No cruse ships air planes I like day trips casinos thrift stores movies I like pets like taking care Pretty happy go lucky person,man in black shirt is smiling at the camera,0
114,Downtoearth,12,1,14,3,Tall earth guy looking fun chats maybe,two girls are playing in the grass,0
115,Dromero,14,1,14,0,Iam love meet woman also love watch movies iam hard worker also responsible myjob put family first,man in black shirt is standing in front of woman in black shirt,0
116,EDWIN221283,14,1,14,1,PERSONA DE APARIENCIA SERIA ME GUSTAN LOS RETOS TRABAJADOR HONESTO ME GUSTA LA MUSICA CHARLAR EN COMPAÑIA DE UN BUEN CAFE ALEGRE EXTROVERTIDO,two girls are playing in the grass,0
117,eeyor8814,10,1,10,2,Well im easy going laid back get along everyone,man in black shirt is smiling at the camera,0
118,effigy69,14,0,16,3,Looking new romance Kids gone I ready next chapter,two girls are playing in the grass,0
119,Elizabeth73,14,0,14,2,Been single WAY long Originally ShowMeState Looking make new friends lovers,man in black shirt is standing in front of crowd,0
120,ElizabethDiDi,14,0,7,0,I sweet witty girl loves life ready serious relationship order discover wonderful world beloved man,man in black shirt is standing in front of crowd,0
121,Elpidio,14,1,7,2,Im romantic man l love life I believe human,man in black shirt and beard with black hair is standing in front of an urban archway,0
122,Elsa123,14,0,9,1,I Elsa I love meeting people reading traveling sharing ideas also I care nature human love arts environment social cultureetc,two girls are playing in the grass,0
123,Elyorch182,14,1,2,1,Hi name Jorge Nice meet Im Venezuelan man living Quito Ecuador since 2016 I really hope know Canadian women,two girls are playing in the grass,0
124,Emmanuel1254,10,1,14,2,I looking female friend Someone teach Spanish Looking friendship first,man in black shirt is eating drink,0
125,encachette,10,1,6,3,I old fashioned gentlemen looking companion enjoy life,two girls are playing in the grass,0
126,eng,10,1,3,3,I kind friendly patient man I know relate woman I fit professional living Colorado springs I love cook frequent gym love outdoors,man in red shirt is standing in front of crowd,0
127,Evavirg,15,0,12,3,I visiting Israel fourth time want get friends Nazareth I 67 years old I drink smoke I spirit person Israel relax meditate,two girls are sitting on the sidewalk,0
128,Evelyn2222,14,0,10,1,Im loving caring mom 2 boys,two girls are playing in the grass,0
129,Eydy,10,0,19,1,I love dance To workout I currently learning play piano I like wine accompanied good book,two girls are playing in the grass,0
130,Eynorth,14,1,18,0,I really like going walk I love going beach passion driving,two girls are sitting on bed,0
131,FAETSERTSE1000,14,1,3,2,I love traveling cooking working yoga meeting new people good conversations I like sending time people I intellectual connection addition physical part Ive lived couple countries enjoy sending time people openminded,man in red shirt is walking down the street,0
132,Fartaworeda,12,1,6,3,A professional highest quality likes dining romantic setting love good conversation,two girls are playing in the grass,0
133,Fastbmw812,14,1,14,1,Outdoors lakes bonfires drive movie night concerts beaches sangria,two girls are playing in the grass,0
134,Fireasianguy,14,1,15,1,Funny warm hearted guy,man in black shirt is standing in front of woman in black shirt and black shirt,0
135,FluffyBlanket,14,0,10,2,Bold confident somewhat eccentric I love rain drum beats travel,two girls are playing in the grass,0
136,Fred43,10,1,2,2,Recently divorced exwife Ukrainian I search abroad I experience know possible succeed love real foreigners,man in red shirt is walking down the street,0
137,freespirit99,10,1,14,3,good looking heakthy duscreet educated world travelled open minded adventurous fun person zest life,two girls are playing in the grass,0
138,GabeRich55,14,1,15,1,Im 33 Year old single father big heart ex left kids high dry really wan na friend lonely time life,man in black shirt is smiling at the camera,0
139,Gamer6949,14,1,3,0,I happy confident ambitious person,two girls are playing in the grass,0
140,garciaqro,14,1,14,2,Hi mi name Guillermo Garcia iam looking london girl friend single 6 feet atlathic body 50 years iam engineer know london parts europa liled woman london,man in black shirt is sitting on bench with her eyes on it,0
141,Gboz,10,1,12,2,Im genuine sincere honest blah blah blah Im sure youve heard Truth Im great guy would love meet someone see goes,two girls are playing in the grass,0
142,German1901,14,1,3,0,Protector comprehensive,man in black shirt is standing in front of wooden bench,0
143,gerrie,13,1,2,3,Educatorauthor christian,two girls are playing in the grass,0
144,Gissymol,14,1,10,0,Honest non drug user healthy looking,woman in black shirt is standing on the sidewalk,0
145,giveyourselfup,14,1,14,3,caring loving empathy others I find qualities man makes hard finding woman To find requires coffee dinner date,two girls are playing in the grass,0
146,glamerboy,14,1,12,3,hi im artist built model trains cardboardand made masterpiesesive newspapers tv itive also sung recorded albums myselfsung around areaim looking good honestcaringwomanim wayI like musicartmoviessingingBBQingtravelgoing celebrationsfestivals etc,two girls are playing in the grass,0
147,Goldballs,12,1,3,1,Im un mccarran 3 weeks anda somthing dessert,two girls are playing in the water,0
148,Gonzo,10,1,7,1,I like Music Cars Food Books Walks Talks Sex Hardworking And honest Te,the little boy is holding pink bottle in its mouth,0
149,Gram,10,1,7,3,Would love meet develop relationship French woman particularly southwestern area Biarritz across Lourdes south Spanish border part France genuinely speaks I financially stable intellectual spiritual endlessly curious I also speak French would love speak better,man in black shirt is standing in front of woman in black shirt,0
150,Greenfelo,14,1,6,1,Straight forward focused,two girls are playing in the grass,0
151,GregLach,13,1,14,2,In separation divorce There still time happy someone love till end life,two girls are playing in the grass,0
152,Hannelore,10,0,15,2,I love reading mosaic beading camping I like watch good movie braai friends family I daughter lives son works America My daughter working parent I one beautiful granddaughter I love much,man in black shirt is smiling at the camera,0
153,HansemV,13,1,2,2,Been done At age I leave everything fate,two girls are playing in the grass,0
154,happy2see,10,1,12,3,I think Im ordinary fun loving guy I faults failings I wonderful traits also But great recommendation tell dont contact find I like fun avoid uncomfortable situations I divorced like think Im funloving guy good sense humour probably fragile heart So youre flirt player please keep looking Im interested thanks My original country Australia I spend fair bit time Philippines days I travel quite often love meeting new people exploring new places new cultures,man in black shirt is smiling at the camera,0
155,Happyt9542,10,1,12,3,I looking submissive woman best friend future wife I play games interested committed relationship please go another file A picture would really nice also,two girls are playing in the grass,0
156,Harrington,14,1,2,1,Serious man calm intelligent creative fun likes travel,man in black shirt is standing next to woman in black shirt,0
157,Hassy,10,1,3,3,Loving honest loyal reliable Have good sense humor Emotionally financially stable Likes movies eating restaurants spending time family travel,man in red shirt is standing next to the camera,0
158,Helenarus,10,0,15,2,I good person Looking seriously relationship,two girls are playing in field,0
159,Hemir16,14,1,3,2,I want meet woman sascatchewan I plan move July 2021 I know province I looking serious relationship,man in black shirt is sitting on bench in front of house,0
160,Henry47,10,1,4,2,SOY UNA PERSIONA CREYENTE EN DIOS Y RESPETUOSO,man in black shirt is eating,0
161,Hilton2407,14,1,3,1,Im easy going fuss rush I swim everyday I run week,two girls are playing in the grass,0
162,Holena,14,0,15,0,Hi everyone Im learning Finnish I want make friends practice Finnish,two girls are playing in the grass,0
163,hoonreboot,10,1,0,1,Creative type plays guitars give dating sites hopefully one legit,man in black shirt is standing in front of crowd,0
164,Hotsligo1,13,1,12,3,I new dating scene My last relationship ended death back 2005 Have since Looking someone spend time,two girls are playing in the grass,0
165,Idamae32,10,0,15,1,Im quiet shy Im comfortable around I beautiful 4 yr old daughter like around friends family,two girls are playing on trampoline,0
166,Irnessa,14,0,7,1,Love nature dogs interesting books traveling,man in red shirt is walking down the street,0
167,Isaac1611,14,1,18,1,King James Bible believer bmxer driver weed blazer van lifer German shepherd owner clean living truth telling,man in black shirt is standing in front of store,0
168,Isaac1997,14,1,2,0,I 23 I looking partner meet Norway goals getting ahead family,two girls are playing in the grass,0
169,ISHIRE,14,1,8,2,SOY PROFESIONAL DELGADO TRANQUILO FIEL BUSCO CHICA PROFESIONAL CARIÑOSA FEMENINA,man in red shirt is walking down the street,0
170,Itsjacks8,14,1,12,3,Tall athletic medium builtfit Very looking fun,two girls are playing in the grass,0
171,ivo_alexx,14,1,16,1,Im kind romantic handsome tall I speak english portuguese spanish french Id like find girlfriend future wife,man in black shirt is standing in front of woman in black shirt,0
172,ivx3620,14,1,6,2,A hardworking sincere professional Love reading travelling spending time countryside,two girls are playing in the grass,0
173,Jackielove360,14,0,14,2,Very friendly outgoing person get along everyone,man in black shirt is standing in front of wooden door,0
174,jacob29,14,1,14,3,Kind fun generous good guy,two girls are playing in the grass,0
175,Jacques777,10,1,2,3,I Jacques France Paris protestant Christian man involved higher education running team teachersresearchers Applied Mathematics Computer Science I world citizen mindset I feel much concerned cultures whats happening rest world I also studied Theology Philosophy doctoral studies Im fond literature well I like much writing poetry short novels essays My friends usually say consideration humour creativeness gentleness main qualities I learnt lot mankind people general thanks longjourneys globetrotting,man in red shirt is standing in front of crowd,0
176,jaguar6,13,1,2,2,Handsome loving caring funny gentleman love life sexy women looking fun romance,man in black shirt is standing in front of woman in black shirt and black hat,0
177,James87,14,1,15,1,Im fun outgoing Outdoor activities,two girls are playing in the grass,0
178,Jammin,14,1,0,1,Musician singer seeking nice partner enjoy life,two girls are playing in the grass,0
179,Janezh,10,0,10,2,Im kind caring hardworking take pride I Im ordinary earth loving person straight forward Im rush relationship chat see goes I spend FREE time kids times family braai etcI dont clubbing pubs Im SEX CHATS SO PLEASE KEEP YOU CHATS CLEAN really want get know genuinely Last leastthis dating site ATM,two girls are playing in the grass,0
180,Jangoig88,14,1,10,3,I energetic positive male looking straight women,man in black shirt is smiling at the camera,0
181,Janicetucson21,10,0,15,3,I 57yearold divorcee relocated Missouri Tucson October I playing games games played Im looking someone goals life To someone accept I The 3 important things I looking relationship communication respect trust,two girls are sitting on the edge of the grass,0
182,Jass,14,1,14,1,My name jas Im honest person I work hard I love travelling around world also I love go gym,two girls are playing in the grass,0
183,JavierMG,14,1,10,2,I cultured man sensitive kindle romantic I looking real woman scammers,man in black shirt is sitting on bench,0
184,Jballz333,14,1,17,1,Musician painter writer Im artsy,man in black shirt is walking down the street,0
185,JCass,14,1,3,2,New Barcelona I really sure I looking know I find Perhaps journey drop line I easy around funny I think Would love hear,two girls are playing in the grass,0
186,Jchavez,14,1,6,0,I like gym I like playing futbol I love music dancing I love spending time family I like new adventures,man in black shirt is standing in front of woman in black shirt and black shirt,0
187,Jdern,14,1,6,2,Single father Never anytime except late night Looking adult conversation time,man in black shirt is sitting on bench,0
188,Jeff1970,14,1,18,3,49 years old pretty good shape like fun looking good woman Im ready start long get married good lady,man in black shirt is sitting on bench with her eyes on his head,0
189,Jehovah32,10,0,8,1,Secure grounded Christ I goal oriented one hates loosing I Confident also skilled If happen catch Christian music blasting know Im either praising Godfor something done AGAIN Im decorating interior design I put God anyone anything pivotal problem kindly swipe left I enjoy watching romance family comedy action movies eating cereal daytime The recent thing I learned cook Mexican rice chicken tamales Im chef wont starving I write short stories whether fiction nonfiction Im sweet standards options If self control move left I goofy times I love cuddle hold hands smooch Realistically first date would cup coffee conversation side order Good vibes laughter I four intelligent kids pancakes never taste right without butter goofy loving total package lets fun Hope talk soon Be blessed,two girls are playing in the grass,0
190,jereo_cheerio08,14,1,14,0,A kind Hearted man loves music artwork And Religious,man in black shirt is smiling while standing in front of cardboard cart,0
191,Jerry1234,14,1,14,3,I good man looking good young woman love marriage Must willing live USA Bring family,two girls are playing in the grass,0
192,Jess1429,10,1,12,3,I consider simple type guy enjoys simple happy lifeI enjoy going drinks dinner Saturday nightAnd I try attend Sunday services much possible,two girls are playing in the grass,0
193,Jess_Peruvian,14,0,3,1,Hi I would like know male entertaining conversations time practice English I Girl Peruvian I speak Spanish I like laugh I love travel learn new topics go movies enjoy life many perspectives interested speaking phone skype face face LimaPerú maybe want travel South America near future contact leave message,two girls are sitting on the floor with her hair,0
194,Jezzmeella,14,0,15,2,looking start time tropical relaxing whatever may come adventure,two girls are playing in the grass,0
195,jgg1450,10,1,12,3,Im short stocky blue eyes divorced retired military trucker looking someone love,man in black shirt is smiling at the camera,0
196,Jhonniecoleman,14,1,8,0,Sometimes I wonder dramas world hurricanes Why diseases How I yet met,two girls are playing in the water,0
197,Jng84,10,1,3,1,Not one games Like cooking walks pretty much anything outside,two girls are playing in the grass,0
198,Joeyclams,14,1,14,3,Artistical soul kind thoughtful,two girls are playing in the grass,0
199,Joglesby98,10,1,14,1,I laid back person easy get long,two girls are playing in the grass,0
200,John0222,14,1,9,1,Just looking fun Only couple weeks,man in black shirt is standing next to the camera,0
